Timestamp	SpeedFL	SpeedFR	SpeedRL	SpeedRR	AmbientAirTemperature	Brake	LDI	RDI	HighBeamFlash	WiperMotor	SteeringPos	Latitude	Longitude	 
50706	0	0	0	0	6	0	0	0	0	0	80	51.60432333	5.440596667	
50756	0	0	0	0	6	0	0	0	0	0	74	51.60432333	5.440596667	
50807	0	0	0	390	6	0	0	0	0	0	67	51.60432333	5.440596667	
50857	459	0	0	429	6	0	0	0	0	0	61	51.60432333	5.440596667	
50908	680	789	770	740	6	0	0	0	0	0	54	51.60432333	5.440596667	
50958	919	1010	950	859	6	0	0	0	0	0	48	51.60432333	5.440596667	
51009	979	1079	950	950	6	0	0	0	0	0	43	51.60432333	5.440596667	
51059	1079	1380	1079	1170	6	0	0	0	0	0	39	51.60432333	5.440596667	
51112	1260	1500	1130	1380	6	0	0	0	0	0	35	51.60432333	5.440596667	
51163	1350	1620	1290	1439	6	0	0	0	0	0	31	51.60432333	5.440596667	
51213	1439	1719	1350	1660	6	0	0	0	0	0	28	51.60432333	5.440596667	
51264	1530	1870	1439	1750	6	0	0	0	0	0	24	51.60432333	5.440596667	
51314	1750	2149	1500	1930	6	0	0	0	0	0	19	51.60432333	5.440596667	
51365	1839	2270	1569	2060	6	0	0	0	0	0	15	51.60432333	5.440596667	
51415	1930	2429	1620	2240	6	0	0	0	0	0	11	51.60432333	5.440596667	
51466	2060	2520	1750	2330	6	0	0	0	0	0	6	51.60432333	5.440596667	
51516	2210	2669	1870	2460	6	0	0	0	0	0	2	51.60432333	5.440596667	
51567	2310	2800	1930	2550	6	0	0	0	0	0	0	51.60432333	5.440596667	
51617	2370	3010	1910	2669	6	0	0	0	0	0	0	51.60432333	5.440596667	
51668	2399	3139	1870	2760	6	0	0	0	0	0	1	51.60432333	5.440596667	
51718	2520	3409	1839	2830	6	0	0	0	0	0	1	51.60432333	5.440596667	
51771	2669	3540	1839	2980	6	0	0	0	0	0	0	51.60432333	5.440596667	
51822	2740	3600	1870	3040	6	0	0	0	0	0	0	51.60432333	5.440596667	
51872	2860	3720	1969	3199	6	0	0	0	0	0	0	51.60432333	5.440596667	
51923	2919	3850	2030	3260	6	0	0	0	0	0	0	51.60432333	5.440596667	
51973	3040	4060	2149	3409	6	0	0	0	0	0	0	51.60432333	5.440596667	
52024	3159	4210	2180	3540	6	0	0	0	0	0	0	51.60432333	5.440596667	
52074	3260	4370	2270	3689	6	0	0	0	0	0	0	51.60432333	5.440596667	
52125	3379	4520	2330	3780	6	0	0	0	0	0	0	51.60432333	5.440596667	
52175	3500	4640	2520	3870	6	0	0	0	0	0	0	51.60432333	5.440596667	
52226	3600	4799	2580	4000	6	0	0	0	0	0	0	51.60432333	5.440596667	
52276	3720	4890	2710	4250	6	0	0	0	0	0	0	51.60432333	5.440596667	
52327	3810	5080	2740	4299	6	0	0	0	0	0	0	51.60432333	5.440596667	
52377	3810	5100	2830	4460	6	0	0	0	0	0	0	51.60432333	5.440596667	
52428	3750	5080	2830	4430	6	0	0	0	0	0	0	51.60432333	5.440596667	
52478	3780	4990	2860	4390	6	0	0	0	0	0	0	51.60432333	5.440596667	
52532	3689	4859	2830	4279	6	0	0	0	0	0	0	51.60432333	5.440596667	
52583	3659	4770	2800	4180	6	0	0	0	0	0	0	51.60432333	5.440596667	
52633	3540	4680	2740	4089	6	0	0	0	0	0	0	51.60432333	5.440596667	
52684	3500	4610	2620	4029	6	0	0	0	0	0	1	51.60432333	5.440596667	
52734	3409	4520	2550	3939	6	0	0	0	0	0	3	51.60432333	5.440596667	
52785	3350	4460	2520	3810	6	0	0	0	0	0	6	51.60432333	5.440596667	
52835	3260	4390	2399	3720	6	0	0	0	0	0	9	51.60432333	5.440596667	
52886	3199	4299	2370	3689	6	0	0	0	0	0	13	51.60432333	5.440596667	
52936	3040	4120	2310	3600	6	0	0	0	0	0	17	51.60432333	5.440596667	
52987	2919	3970	2310	3500	6	0	0	0	0	0	22	51.60432333	5.440596667	
53037	2950	3810	2270	3350	6	0	0	0	0	0	26	51.60432333	5.440596667	
53088	2889	3689	2310	3290	6	0	0	0	0	0	31	51.60432333	5.440596667	
53138	2800	3659	2399	3290	6	0	0	0	0	0	36	51.60432333	5.440596667	
53189	2669	3449	2399	3159	6	0	0	0	0	0	42	51.60432333	5.440596667	
53239	2580	3230	2399	3110	6	0	0	0	0	0	48	51.60432333	5.440596667	
53292	2520	3260	2370	2950	6	0	0	0	0	0	54	51.60432333	5.440596667	
53343	2490	2980	2370	2889	6	0	0	0	0	0	59	51.60432333	5.440596667	
53393	2330	2740	2330	2740	6	0	0	0	0	0	65	51.60432333	5.440596667	
53444	2270	2760	2270	2669	6	0	0	0	0	0	69	51.60432333	5.440596667	
53494	2240	2550	2240	2550	6	0	0	0	0	0	72	51.60432333	5.440596667	
53545	2120	2240	2180	2460	6	0	0	0	0	0	75	51.60432333	5.440596667	
53595	1969	2330	2060	2270	6	0	0	0	0	0	77	51.60432333	5.440596667	
53646	1870	2000	1969	2120	6	0	0	0	0	0	80	51.60432333	5.440596667	
53696	1689	1689	1839	2000	6	0	0	0	0	0	84	51.60432333	5.440596667	
53747	1620	1810	1689	1810	6	0	0	0	0	0	89	51.60432333	5.440596667	
53797	1439	1569	1480	1620	6	0	0	0	0	0	94	51.60432333	5.440596667	
53848	1230	1439	1319	1380	6	0	0	0	0	0	100	51.60432333	5.440596667	
53898	1079	1040	1230	1230	6	0	0	0	0	0	107	51.60432333	5.440596667	
53951	789	950	890	1040	6	0	0	0	0	0	113	51.60432333	5.440596667	
54002	789	770	700	979	6	0	0	0	0	0	120	51.60432333	5.440596667	
54052	640	580	550	700	6	0	0	0	0	0	127	51.60432333	5.440596667	
54103	550	489	489	580	6	0	0	0	0	0	133	51.60432333	5.440596667	
54153	459	390	390	489	6	0	0	0	0	0	139	51.60432333	5.440596667	
54204	390	370	340	489	6	0	0	0	0	0	144	51.60432333	5.440596667	
54254	459	340	340	459	6	0	0	0	0	0	149	51.60432333	5.440596667	
54305	459	340	340	610	6	0	0	0	0	0	156	51.60432333	5.440596667	
54355	1350	1230	1199	1100	6	0	0	0	0	0	162	51.60432333	5.440596667	
54406	1660	1480	1480	1230	6	0	0	0	0	0	167	51.60432333	5.440596667	
54456	2060	1660	1969	1530	6	0	0	0	0	0	172	51.60432333	5.440596667	
54507	2330	1839	2149	1569	6	0	0	0	0	0	176	51.60432333	5.440596667	
54557	2740	2120	2490	1839	6	0	0	0	0	0	180	51.60432333	5.440596667	
54608	2980	2330	2639	1969	6	0	0	0	0	0	183	51.60432333	5.440596667	
54658	3350	2620	2980	2149	6	0	0	0	0	0	186	51.60432333	5.440596667	
54712	3720	2889	3320	2310	6	0	0	0	0	0	189	51.60432333	5.440596667	
54763	4029	3040	3560	2490	6	0	0	0	0	0	191	51.60432333	5.440596667	
54813	4370	3350	3870	2669	6	0	0	0	0	0	194	51.60432333	5.440596667	
54864	4580	3500	4089	2760	6	0	0	0	0	0	196	51.60432333	5.440596667	
54914	5009	3750	4339	2889	6	0	0	0	0	0	198	51.60432333	5.440596667	
54965	5259	3899	4549	3010	6	0	0	0	0	0	199	51.60432333	5.440596667	
55015	5690	4279	4859	3070	6	0	0	0	0	0	199	51.60432347	5.440595337	
55066	5930	4490	5100	3159	6	0	0	0	0	0	198	51.60432399	5.440590282	
55116	6399	4770	5350	3290	6	0	0	0	0	0	198	51.60432454	5.440585027	
55167	6490	4890	5509	3449	6	0	0	0	0	0	198	51.60432511	5.440579523	
55217	6859	5200	5810	3629	6	0	0	0	0	0	198	51.6043257	5.44057382	
55268	7049	5350	6000	3850	6	0	0	0	0	0	198	51.60432632	5.440567799	
55318	7379	5569	6399	4089	6	0	0	0	0	0	199	51.60432696	5.440561581	
55371	7690	5779	6620	4279	6	0	0	0	0	0	199	51.60432767	5.440554728	
55422	8029	6000	6859	4430	6	0	0	0	0	0	199	51.60432838	5.440547877	
55472	8550	6270	7109	4549	6	0	0	0	0	0	199	51.60432911	5.440540852	
55523	8639	6520	7410	4640	6	0	0	0	0	0	199	51.60432987	5.440533489	
55574	9040	6799	7540	4799	6	0	0	0	0	0	199	51.60433066	5.440525864	
55624	9230	6950	7720	4990	6	0	0	0	0	0	199	51.60433145	5.440518199	
55675	9480	7140	8000	5230	6	0	0	0	0	0	199	51.60433229	5.440510121	
55727	9690	7350	8149	5259	6	0	0	0	0	0	199	51.60433316	5.44050172	
55778	9969	7569	8460	5410	6	0	0	0	0	0	199	51.60433403	5.44049322	
55832	10340	7690	8700	5529	6	0	0	0	0	0	199	51.60433499	5.440483977	
55884	10580	7879	8990	5529	6	0	0	0	0	0	199	51.60433593	5.440474878	
55935	10889	8120	9230	5720	6	0	0	0	0	0	199	51.60433688	5.440465688	
55987	11050	8280	9510	5930	6	0	0	0	0	0	199	51.60433788	5.440456095	
56038	11200	8519	9690	6060	6	0	0	0	0	0	199	51.60433837	5.440450833	
56092	11780	8769	9820	6310	6	0	0	0	0	0	199	51.60433845	5.440449109	
56144	11900	9010	10059	6490	6	0	0	0	0	0	199	51.60433853	5.440447414	
56195	12210	9200	10240	6620	6	0	0	0	0	0	199	51.6043386	5.440445715	
56247	12340	9320	10580	6740	6	0	0	0	0	0	199	51.60433868	5.440443951	
56298	12610	9530	10670	6920	6	0	0	0	0	0	199	51.60433876	5.440442187	
56352	13170	9410	11170	7160	6	0	0	0	0	0	199	51.60433885	5.440440264	
56404	12990	10000	11139	7259	6	0	0	0	0	0	199	51.60433894	5.440438391	
56455	13540	10179	11380	7290	6	0	0	0	0	0	199	51.60433902	5.440436509	
