Timestamp	SpeedFL	SpeedFR	SpeedRL	SpeedRR	AmbientAirTemperature	Brake	LDI	RDI	HighBeamFlash	WiperMotor	SteeringPos	Latitude	Longitude	 
605	0	0	0	0	11	0	0	0	0	0	100	51.63870167	5.354966667	
656	0	0	0	0	11	0	0	0	0	0	100	51.63870167	5.354966667	
711	0	0	0	0	11	0	0	0	0	0	100	51.63870167	5.354966667	
763	0	0	0	0	11	0	0	0	0	0	100	51.63870167	5.354966667	
815	0	0	0	0	11	0	0	0	0	0	100	51.63870167	5.354966667	
869	0	0	0	0	11	0	0	0	0	0	100	51.63870167	5.354966667	
922	0	0	0	0	11	0	0	0	0	0	100	51.63870167	5.354966667	
973	0	0	0	0	11	0	0	0	0	0	100	51.63870167	5.354966667	
1025	0	0	0	0	11	0	0	0	0	0	100	51.63870167	5.354966667	
1075	0	0	0	0	11	0	0	0	0	0	98	51.63870167	5.354966667	
1128	0	0	0	0	11	0	0	0	0	0	98	51.63870167	5.354966667	
1179	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1229	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1280	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1330	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1381	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1431	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1482	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1532	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1583	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1633	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1684	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1734	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1785	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1835	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1889	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1939	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
1990	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
2041	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
2091	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
2142	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
2192	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
2243	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
2293	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
2344	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
2394	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
2444	0	0	0	0	11	0	0	0	0	0	98	51.638635	5.354855	
