Timestamp	SpeedFL	SpeedFR	SpeedRL	SpeedRR	AmbientAirTemperature	Brake	LDI	RDI	HighBeamFlash	WiperMotor	SteeringPos	Latitude	Longitude	 
242995	25140	25240	25080	24930	8	0	0	1	0	0	99	51.82384371	5.835283102	
243049	25480	25539	25380	25260	8	0	0	1	0	0	100	51.82384004	5.835282918	
243101	25849	25689	25760	25660	8	0	0	1	0	0	100	51.82383645	5.835282739	
243152	26310	26060	26000	26000	8	0	0	1	0	0	101	51.82383289	5.835282561	
243204	26430	26400	26220	26130	8	0	0	1	0	0	102	51.82382923	5.835282378	
243255	26800	26680	26470	26430	8	0	0	1	0	0	103	51.8238256	5.835282197	
243309	27109	26990	26869	26800	8	0	0	1	0	0	104	51.82382171	5.835282002	
243360	27510	27320	27230	26920	8	0	0	1	0	0	104	51.82381799	5.835281816	
243411	27880	27510	27789	27260	8	0	0	1	0	0	105	51.82381425	5.835281547	
243463	28189	27849	28060	27359	8	0	0	1	0	0	105	51.82381033	5.83528092	
243514	28529	28430	28310	27720	8	0	0	1	0	0	105	51.82380643	5.835280296	
243566	28769	28060	28460	28029	8	0	0	1	0	0	106	51.82380245	5.835279659	
243617	29109	29140	28590	28340	8	0	0	1	0	0	106	51.82379848	5.835279023	
243671	29420	29019	29170	28680	8	0	0	1	0	0	106	51.82379423	5.835278343	
243723	29660	28990	29359	28859	8	0	0	1	0	0	107	51.82379012	5.835277685	
243773	30070	29689	29760	29140	8	0	0	1	0	0	107	51.8237861	5.835277043	
243825	29939	29380	29849	29170	8	0	0	1	0	0	107	51.82378194	5.835276377	
243876	30340	29910	30310	29820	8	0	0	1	0	0	106	51.82377779	5.835275713	
243930	30869	30380	30740	29730	8	0	0	1	0	0	106	51.82377334	5.835275002	
243982	31170	30429	30869	30380	8	0	0	1	0	0	106	51.82376902	5.83527431	
244033	31630	30769	31230	30560	8	0	0	1	0	0	106	51.82376474	5.835273625	
244085	31660	31140	31390	30490	8	0	0	1	0	0	106	51.82376035	5.835272923	
