,Latitude,Longitude
0,51.82929481,5.835184317
1,51.82929178,5.835188741
2,51.8292887,5.835193229
3,51.82928568,5.835197625
4,51.82928251,5.835202254
5,51.82927624,5.835211194
6,51.82927285,5.835215839
7,51.82926959,5.835220292
8,51.82926603,5.835225174
9,51.82926273,5.835229688
10,51.82925944,5.83523419
11,51.82925606,5.835238812
12,51.82925276,5.835243333
13,51.82924924,5.835248143
14,51.82924586,5.835252764
15,51.82924255,5.835257295
16,51.82923918,5.835261915
17,51.82923593,5.835266358
18,51.82923235,5.835271263
19,51.82922896,5.835275902
20,51.82922563,5.835280454
21,51.82922231,5.835285
22,51.82921898,5.835289549
23,51.82921559,5.835294196
24,51.82921243,5.835298653
25,51.82920913,5.835303337
26,51.82920595,5.835307855
27,51.82920282,5.835312304
28,51.82919969,5.835316757
29,51.82919656,5.835321205
30,51.82919318,5.835326007
31,51.82919005,5.835330459
32,51.8291869,5.835334936
33,51.82918367,5.835339516
34,51.8291805,5.835344026
35,51.82917714,5.835348807
36,51.82917389,5.835353422
37,51.82917068,5.835357985
38,51.82916747,5.835362549
39,51.82916423,5.835367143
40,51.82916072,5.835372133
41,51.82915739,5.835376862
42,51.6089343,5.458188999
43,51.60892467,5.458189648
44,51.6089149,5.458190306
45,51.60565274,5.453191582
46,51.60564892,5.453178271
47,51.60564503,5.453164711
48,51.60564124,5.453151483
49,51.60563724,5.453137543
50,51.60563338,5.453124078
51,51.60562962,5.453110964
52,51.60562586,5.45309782
53,51.60562213,5.453084816
54,51.60561812,5.45307084
55,51.60561438,5.453057796
56,51.60561074,5.453045102
57,51.6056073,5.4530331
58,51.60560392,5.453021317
59,51.60560047,5.453009299
60,51.60559713,5.452997623
61,51.60559342,5.452984693
62,51.60558994,5.452972554
63,51.60558643,5.452960319
64,51.60558285,5.452947841
65,51.60557936,5.452935637
66,51.6055757,5.452922888
67,51.60557212,5.452910394
68,51.6055686,5.452898132
69,51.60556498,5.452885515
70,51.60556142,5.452873094
71,51.60555768,5.452860047
72,51.60528764,5.448589645
73,51.60529161,5.448587475
74,51.60529567,5.448585254
75,51.60529952,5.448583152
76,51.60530313,5.44858118
77,51.60530669,5.448579232
78,51.6053141,5.448575139
79,51.60532564,5.448568744
80,51.60533613,5.448562935
81,51.60534556,5.448557709
82,51.60535483,5.448552574
83,51.6053632,5.448547934
84,51.60537119,5.448543507
85,51.60537843,5.448539497
86,51.60538493,5.448535894
87,51.60539114,5.448532452
88,51.60539674,5.448529351
89,51.6054021,5.448526379
90,51.60540698,5.448523676
91,51.60541175,5.448521034
92,51.60541609,5.448518628
93,51.60542029,5.448516302
94,51.60542419,5.448514144
95,51.60542796,5.448512051
96,51.60543167,5.44851
97,51.60544267,5.448504339
98,51.60432333,5.440596667
99,51.60432333,5.440596667
100,51.60432333,5.440596667
101,51.60432333,5.440596667
102,51.60432333,5.440596667
103,51.60432333,5.440596667
104,51.60432333,5.440596667
105,51.60432333,5.440596667
106,51.60432333,5.440596667
107,51.60432333,5.440596667
108,51.60432333,5.440596667
109,51.60432333,5.440596667
110,51.60432333,5.440596667
111,51.60432333,5.440596667
112,51.60432333,5.440596667
113,51.60432333,5.440596667
114,51.60432333,5.440596667
115,51.60432333,5.440596667
116,51.60432333,5.440596667
